# ----------------------------------------,,,,,,,,,,
# Solenergy,,,,,,,,,,
# Landing Pages,,,,,,,,,,
# 20160220-20160321,,,,,,,,,,
# ----------------------------------------,,,,,,,,,,
,,,,,,,,,,
Landing Page,Date,Sessions,% New Sessions,New Users,Bounce Rate,Pages / Session,Avg. Session Duration,Goal Conversion Rate,Goal Completions,Goal Value
/,20160307,46,65.22%,30,63.04%,1.65,00:01:21,0.00%,0,$0.00
/,20160317,34,79.41%,27,70.59%,1.29,00:01:27,0.00%,0,$0.00
/,20160318,34,70.59%,24,58.82%,2.21,00:01:49,0.00%,0,$0.00
/,20160223,33,72.73%,24,66.67%,1.09,00:01:07,0.00%,0,$0.00
/,20160310,33,72.73%,24,60.61%,1.18,00:01:54,0.00%,0,$0.00
/,20160311,31,58.06%,18,58.06%,1.29,00:03:05,0.00%,0,$0.00
/,20160321,31,74.19%,23,61.29%,2.03,00:03:03,0.00%,0,$0.00
/,20160224,30,80.00%,24,56.67%,1.13,00:02:40,0.00%,0,$0.00
/,20160314,30,73.33%,22,56.67%,1.5,00:02:53,0.00%,0,$0.00
/,20160229,29,72.41%,21,51.72%,1.07,00:01:34,0.00%,0,$0.00
/,20160301,29,75.86%,22,62.07%,1.38,00:01:00,0.00%,0,$0.00
/,20160316,29,75.86%,22,55.17%,1.62,00:01:42,0.00%,0,$0.00
/,20160303,27,77.78%,21,74.07%,2.07,00:02:51,0.00%,0,$0.00
/,20160302,26,76.92%,20,46.15%,1.31,00:02:41,0.00%,0,$0.00
/,20160319,26,76.92%,20,76.92%,1.15,00:00:26,0.00%,0,$0.00
/,20160222,25,72.00%,18,52.00%,1.68,00:02:52,0.00%,0,$0.00
/,20160304,25,84.00%,21,52.00%,2.08,00:02:50,0.00%,0,$0.00
/,20160308,25,60.00%,15,64.00%,1.2,00:00:39,0.00%,0,$0.00
/,20160309,25,80.00%,20,76.00%,1.2,00:01:06,0.00%,0,$0.00
/,20160315,25,96.00%,24,64.00%,1.16,00:01:00,0.00%,0,$0.00
/,20160225,23,78.26%,18,73.91%,1.39,00:00:47,0.00%,0,$0.00
/,20160226,22,45.45%,10,72.73%,1.23,00:01:46,0.00%,0,$0.00
/,20160306,18,94.44%,17,61.11%,1.22,00:01:35,0.00%,0,$0.00
/,20160312,17,100.00%,17,70.59%,1.24,00:00:25,0.00%,0,$0.00
/,20160228,15,100.00%,15,66.67%,1.2,00:00:35,0.00%,0,$0.00
/,20160305,13,84.62%,11,100.00%,1,00:00:00,0.00%,0,$0.00
/,20160313,12,91.67%,11,83.33%,1.08,00:00:04,0.00%,0,$0.00
/,20160320,11,72.73%,8,63.64%,1.27,00:00:57,0.00%,0,$0.00
/,20160221,10,90.00%,9,40.00%,1.3,00:04:20,0.00%,0,$0.00
/,20160220,8,75.00%,6,62.50%,1.38,00:02:43,0.00%,0,$0.00
/,20160227,7,85.71%,6,71.43%,1.29,00:00:56,0.00%,0,$0.00
(not set),20160319,3,0.00%,0,0.00%,0,00:00:05,0.00%,0,$0.00
/solar-philippines-traditional-versus-green-energy/,20160318,3,0.00%,0,33.33%,5.67,00:08:04,0.00%,0,$0.00
(not set),20160229,2,0.00%,0,0.00%,0,00:00:05,0.00%,0,$0.00
/contact.htm,20160225,2,0.00%,0,0.00%,2,00:00:00,0.00%,0,$0.00
/our-projects/,20160316,2,0.00%,0,50.00%,1.5,00:02:03,0.00%,0,$0.00
/products/,20160318,2,0.00%,0,0.00%,3,00:00:42,0.00%,0,$0.00
(not set),20160228,1,0.00%,0,0.00%,0,00:00:00,0.00%,0,$0.00
(not set),20160301,1,0.00%,0,0.00%,0,00:00:00,0.00%,0,$0.00
(not set),20160311,1,0.00%,0,0.00%,0,00:00:00,0.00%,0,$0.00
(not set),20160314,1,0.00%,0,0.00%,0,00:00:01,0.00%,0,$0.00
